 TIME                    	wind_r                   	ch_control               	tower_control            
 HOURS              	Unit1               	Unit2               	Unit3               
8093.75	37.42483126	0.390520084	0.31028653
8093.833333	37.44747505	0.390623417	0.29700954
8093.916667	37.46115386	0.390672501	0.296951426
8094	37.46206608	0.390782529	0.283669912
8094.083333	37.47189976	0.390836906	0.283695189
8094.166667	37.48455448	0.390953098	0.271930383
8094.25	37.49001372	0.391010869	0.27198703
8094.333333	37.48706514	0.391134568	0.26166997
8094.416667	37.47080093	0.391193353	0.26174381
8094.5	37.4503435	0.391286308	0.25231913
8094.583333	37.42988542	0.391338489	0.25236706
8094.666667	37.40263538	0.391453286	0.243258797
8094.75	37.36367355	0.391502606	0.243372594
8094.833333	37.30327531	0.391587877	0.242987257
8094.916667	37.28374139	0.39176653	0.227588176
8095	37.26452586	0.392022461	0.242168792
8095.083333	37.20518193	0.392033633	0.241566923
8095.166667	37.15424386	0.392072596	0.241727302
8095.25	37.12940677	0.392116002	0.242142979
8095.333333	37.06686851	0.392287066	0.255567452
8095.416667	36.97313991	0.39231975	0.255093458
8095.5	36.90319767	0.392329275	0.255302891
8095.583333	36.85044257	0.392352217	0.255666199
8095.666667	36.7828285	0.392443868	0.26914165
8095.75	36.68625266	0.392437891	0.268767216
8095.833333	36.60208035	0.392437854	0.269028157
8095.916667	36.54040832	0.392438934	0.274650443
8096	36.4595163	0.392438104	0.284483277
8096.083333	36.35403551	0.392421075	0.28429984
8096.166667	36.26729294	0.392409026	0.284599194
8096.25	36.19448017	0.392363465	0.295086476
8096.333333	36.10638114	0.392343491	0.295133064
8096.416667	36.02921283	0.392324187	0.295538357
8096.5	35.9503093	0.392233009	0.30953376
8096.583333	35.84615567	0.392177036	0.309746903
8096.666667	35.71253124	0.392077997	0.309736018
8096.75	35.55505211	0.39193891	0.309209089
8096.833333	35.41736996	0.391597297	0.291637552
8096.916667	35.31529114	0.391304418	0.279794972
8097	35.23027834	0.391124241	0.279641722
8097.083333	35.16086027	0.390655545	0.264325729
8097.166667	35.09229061	0.390528154	0.264376741
8097.25	35.02021478	0.390036944	0.251602052
8097.333333	34.9563048	0.389903631	0.251733136
8097.416667	34.88885943	0.389461235	0.241392021
8097.5	34.82828739	0.389319303	0.241484371
8097.583333	34.7688506	0.388855054	0.232673773
8097.666667	34.71586889	0.388707188	0.23280422
8097.75	34.6551385	0.388465021	0.232473918
8097.833333	34.61319378	0.387780087	0.220211753
8097.916667	34.59312633	0.387710324	0.220770618
8098	34.55007845	0.387550905	0.220718819
8098.083333	34.495752	0.387378271	0.2204136
8098.166667	34.44896881	0.386758982	0.21144282
8098.25	34.41810935	0.386681001	0.211884615
8098.333333	34.37626281	0.38650911	0.211860438
8098.416667	34.31711413	0.386236989	0.211408649
8098.5	34.27948175	0.386050812	0.211361316
8098.583333	34.27487673	0.385879795	0.211732787
8098.666667	34.24696003	0.385304821	0.224675574
8098.75	34.20077261	0.38520259	0.224090926
8098.833333	34.17954704	0.38501766	0.224302072
8098.916667	34.1638808	0.384497818	0.23497991
8099	34.13547258	0.384307475	0.234799513
8099.083333	34.11271245	0.383951699	0.244015585
8099.166667	34.10717711	0.383766988	0.24406609
8099.25	34.10257369	0.383326016	0.256719004
8099.333333	34.08993354	0.383139755	0.256693993
8099.416667	34.07683558	0.382703221	0.270391601
8099.5	34.0676115	0.382518486	0.270476032
8099.583333	34.02571117	0.381740872	0.286943757
8099.666667	33.93567828	0.38143345	0.286359648
8099.75	33.8417818	0.380658485	0.27288976
8099.833333	33.79179015	0.379974524	0.259342481
8099.916667	33.76660326	0.379753819	0.259283391
8100	33.75703297	0.378814372	0.24350302
8100.083333	33.75360735	0.37859997	0.243675634
8100.166667	33.75514868	0.377910881	0.231830992
8100.25	33.76197807	0.377696997	0.231989568
8100.333333	33.7537184	0.377139835	0.222826651
8100.416667	33.7535771	0.376926155	0.222965995
8100.5	33.75932853	0.376373992	0.21531119
8100.583333	33.764812	0.376164779	0.215474745
8100.666667	33.75068569	0.375946631	0.215152708
8100.75	33.75518533	0.375152587	0.20345842
