2000	4840	7680	!Air Flow Rate (l/s)			
222067	209719	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],23.33 [C], and 35 [C]"			
218134	206398	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],23.33 [C], and 37.78 [C]"			
213717	204753	101143	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],23.33 [C], and 40.56 [C]"			
206333	201448	107882	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],23.33 [C], and 46.11 [C]"			
225033	227307	88166	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],24.44 [C], and 29.44 [C]"			
223550	225678	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],24.44 [C], and 32.22 [C]"			
222067	225678	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],24.44 [C], and 35 [C]"			
218134	224018	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],24.44 [C], and 37.78 [C]"			
213717	222357	101143	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],24.44 [C], and 40.56 [C]"			
206333	219601	107882	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],24.44 [C], and 46.11 [C]"			
225033	243831	88166	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],25.56 [C], and 29.44 [C]"			
223550	243831	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],25.56 [C], and 32.22 [C]"			
222067	242186	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],25.56 [C], and 35 [C]"			
218134	240526	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],25.56 [C], and 37.78 [C]"			
213717	238898	101143	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],25.56 [C], and 40.56 [C]"			
206333	232272	107882	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],25.56 [C], and 46.11 [C]"			
225033	256502	88166	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],26.67 [C], and 29.44 [C]"			
223550	254841	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],26.67 [C], and 32.22 [C]"			
222067	253181	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],26.67 [C], and 35 [C]"			
218134	249876	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],26.67 [C], and 37.78 [C]"			
213717	245475	101143	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],26.67 [C], and 40.56 [C]"			
206333	238898	107882	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],26.67 [C], and 46.11 [C]"			
245233	162935	90246	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],22.22 [C], and 29.44 [C]"			
242267	161259	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 17.22 [C],22.22 [C], and 32.22 [C]"			
