3238	3700	3861	!Air Flow Rate (l/s)													
134983	134260	61102		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],22.22 [C], and 29.44 [C]												
134093	135149	63679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],22.22 [C], and 32.22 [C]												
133203	134907	66289		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],22.22 [C], and 35 [C]												
130842	136167	69707		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],22.22 [C], and 37.78 [C]												
128192	137769	73806		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],22.22 [C], and 40.56 [C]												
123764	140200	81541		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],22.22 [C], and 46.11 [C]												
134983	146470	61102		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],23.33 [C], and 29.44 [C]												
134093	146306	63679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],23.33 [C], and 32.22 [C]												
133203	147284	66289		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],23.33 [C], and 35 [C]												
130842	147565	69707		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],23.33 [C], and 37.78 [C]												
128192	149413	73806		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],23.33 [C], and 40.56 [C]												
123764	152262	81541		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],23.33 [C], and 46.11 [C]												
134983	157532	61102		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],24.44 [C], and 29.44 [C]												
134093	157440	63679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],24.44 [C], and 32.22 [C]												
133203	158490	66289		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],24.44 [C], and 35 [C]												
130842	160161	69707		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],24.44 [C], and 37.78 [C]												
128192	162261	73806		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],24.44 [C], and 40.56 [C]												
123764	165983	81541		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],24.44 [C], and 46.11 [C]												
134983	168983	61102		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],25.56 [C], and 29.44 [C]												
134093	170104	63679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],25.56 [C], and 32.22 [C]												
133203	170085	66289		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],25.56 [C], and 35 [C]												
130842	171966	69707		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3700 (l/s), 15 [C],25.56 [C], and 37.78 [C]												
