   329
  -9.2  -7.8  -1.9   6.6  12.5  18.1  20.7  19.8  14.9   9.6   1.2  -6.2
    87GREENSBORO      NC        36.08       .00       .00
  8118 11009 14903 19103 21200 22166 21150 19255 16088 12953  9524  7475
    30    34    39    77   101   132   147   147   132    77    44    27
   3.7   4.8   8.8  14.8  19.5  23.6  25.1  24.4  20.9  15.1   9.1   4.2
    88GREENVILLE-SPT  SC        34.90       .00       .00
  8280 11144 15077 19263 20869 21769 20770 19284 15952 13392  9990  7607
    30    35    44    77   108   132   147   147   147    82    55    35
   5.7   6.9  10.5  16.1  20.6  24.4  25.7  25.3  22.1  16.5  10.6   6.1
    89GULKANA         AK        62.15       .00       .00
   826  3250  8599 14804 18319 19949 18295 14202  9022  4426  1320   323
     4     7    14    27    35    60    77   107    43    27    16     8
 -21.8 -15.6  -9.7  -1.0   6.6  12.3  13.8  11.8   6.4  -2.9 -14.4 -20.6
    90HARRISBURG      PA        40.22       .00       .00
  6078  8750 12291 16008 18752 20480 20015 17597 14374 10602  6567  5076
    27    27    34    44    82   117   132   132   101    57    39    27
  -1.1    .2   5.0  11.6  17.3  22.2  24.5  23.3  19.4  13.2   6.6    .3
    91HARTFORD        CT        41.93       .00       .00
  5419  8111 11105 14924 17801 19130 18714 16135 13102  9679  5644  4370
    27    27    30    41    66   101   124   108    88    60    30    27
  -4.0  -2.9   2.0   8.7  14.6  19.9  22.6  21.3  17.1  11.4   5.2  -2.1
    92HELENA          MT        46.60       .00       .00
  4760  8044 13000 16874 21111 23149 26486 21906 16030 10512  5915  4135
    24    24    27    30    41    57    66    60    44    35    28    24
  -7.7  -3.7   -.8   5.9  11.2  15.1  19.9  19.0  13.1   7.4   -.2  -4.8
    93HILO            HI        19.72       .00       .00
 12708 14143 15305 16284 17625 18822 18436 18072 17554 15572 12539 11568
   132   124   124   124   132   139   151   151   151   151   139   132
  21.8  21.7  21.7  22.3  23.1  23.7  24.1  24.4  24.2  23.9  23.1  22.0
    94HOMER           AK        59.63       .00       .00
  1380  3789  8617 14167 17961 19867 18136 13491  8982  4961  1990   726
    17    22    24    30    41    57    71    71    58    31    34    25
  -5.9  -3.9  -2.4   1.7   5.7   9.3  11.3  11.3   8.3   3.0  -2.1  -5.9
    95HONOLULU        HI        21.33       .00       .00
 13390 15847 18404 20380 22123 22748 22723 22318 20543 17481 14369 12853
   132   124   124   124   132   139   151   151   151   151   139   132
  22.4  22.4  22.8  23.8  24.9  26.1  26.7  27.1  26.9  26.1  24.7  23.2
    96HOUSTON         TX        29.98       .00       .00
  8766 11737 14724 17277 20143 21541 20747 19137 16694 14477 10486  8280
    62    62    88   139   147   167   176   176   167   132   114    77
  11.2  12.9  16.0  20.8  24.3  27.3  28.5  28.6  26.2  21.6  16.2  12.6
    97HUNTINGTON      WV        38.37       .00       .00
  5970  8591 12108 16430 19411 20924 20073 17933 14819 11395  7236  5303
    31    31    34    70    94   121   147   147   114    82    34    31
   1.3   2.3   6.8  13.2  18.1  22.4  24.1  23.3  19.8  13.9   7.5   2.2
    98HURON           SD        44.38       .00       .00
  5540  8451 12639 17364 21240 23845 24772 21476 16091 11216  6550  4600
    17    31    31    34    71   101   124   117    71    43    31    22
 -10.8  -7.8  -1.7   7.7  13.9  19.5  23.2  22.3  15.9   9.8    .2  -7.1
    99INDIANAPOLIS    IN        39.73       .00       .00
  5624  8477 11773 15870 19157 21201 20500 18652 15026 11088  6572  4728
    31    31    32    43    88   132   147   139   101    62    34    31
  -2.3   -.7   4.3  11.3  16.8  22.1  23.9  22.9  19.1  13.2   5.4   -.6
   100INTERNAT'L FALLSMN        48.57       .00       .00
  4037  7519 11870 16385 19477 21033 21801 18366 12725  7988  3921  3084
     9    22    24    31    44    77    98    94    67    43    31    22
 -16.7 -13.9  -6.3   3.4  10.1  15.8  18.8  17.3  11.7   6.4  -3.9 -12.9
   101JACKSON         MS        32.32       .00       .00
