01 09 22 0 0 0 5.7 -10 81 0 10235 4 36
01 09 23 0 0 0 5.7 -10.1 80 0 10233 5 36
01 10 0 0 0 0 5.2 -10.6 79 0 10231 5 36
01 10 1 0 0 0 4.8 -11.1 79 0 10230 5 36
01 10 2 0 0 0 4.6 -11.3 78 0 10228 4 36
01 10 3 0 0 0 4.8 -11.2 78 0 10226 4 36
01 10 4 0 0 0 5.1 -10.9 77 0 10221 5 36
01 10 5 0 0 0 5.2 -10.8 76 0 10217 5 36
01 10 6 0 0 0 5 -10 74 1 10214 6 36
01 10 7 14 6 8 5 -7.1 73 3 10214 6 36
01 10 8 81 11 69 5.5 -3.8 71 6 10214 6 36
01 10 9 206 86 119 6.8 -0.7 69 7 10212 6 36
01 10 10 297 156 142 8.8 0.7 67 6 10208 4 28
01 10 11 342 189 153 10.8 2 64 6 10203 3 20
01 10 12 283 94 189 12.2 2.9 64 5 10199 2 12
01 10 13 333 225 108 12.4 3.2 67 5 10198 2 11
01 10 14 217 103 114 11.8 2.6 69 5 10196 3 11
01 10 15 86 17 69 10.7 1.8 71 5 10195 3 10
01 10 16 11 3 8 9.8 1.6 73 6 10195 3 19
01 10 17 0 0 0 9.2 1.7 74 6 10195 3 27
01 10 18 0 0 0 8.9 1.9 75 7 10195 3 36
01 10 19 0 0 0 8.8 1.8 74 7 10193 3 35
01 10 20 0 0 0 8.7 1.7 74 7 10192 3 35
01 10 21 0 0 0 8.8 1.8 72 7 10189 3 34
01 10 22 0 0 0 9 1.9 70 7 10183 3 35
01 10 23 0 0 0 9.1 2 68 7 10176 3 35
01 11 0 0 0 0 9 1.9 67 7 10168 3 36
01 11 1 0 0 0 8.8 1.7 67 7 10162 3 36
01 11 2 0 0 0 8.6 1.5 67 7 10155 3 36
01 11 3 0 0 0 8.6 1.4 66 7 10148 3 36
01 11 4 0 0 0 8.6 1.5 65 7 10142 3 25
01 11 5 0 0 0 8.7 1.5 64 7 10135 3 15
01 11 6 0 0 0 8.7 1.5 65 7 10129 3 4
01 11 7 11 3 8 8.8 1.6 65 7 10123 4 15
01 11 8 67 6 61 8.9 1.7 66 7 10118 4 25
01 11 9 69 3 67 9 2 66 7 10108 4 36
01 11 10 81 3 78 9.2 2.6 66 8 10095 3 36
01 11 11 69 3 67 9.1 2.9 66 8 10083 3 36
01 11 12 19 3 17 8.7 2.7 71 8 10067 3 36
01 11 13 17 3 14 7.9 2 80 8 10049 4 25
01 11 14 11 3 8 7 1.3 89 8 10032 4 13
01 11 15 3 3 0 6.5 0.8 94 8 10017 4 2
01 11 16 0 0 0 6.2 0.5 96 8 10006 5 13
01 11 17 0 0 0 6.3 0.6 98 8 9994 5 23
01 11 18 0 0 0 6.4 0.7 98 8 9985 4 34
01 11 19 0 0 0 6.3 0.6 96 8 9977 4 35
01 11 20 0 0 0 6.1 0.4 95 8 9970 3 35
01 11 21 0 0 0 5.9 0.2 94 8 9965 3 36
01 11 22 0 0 0 5.8 0 94 8 9960 3 36
01 11 23 0 0 0 5.8 0 94 8 9956 3 36
01 12 0 0 0 0 5.8 0 94 8 9953 3 36
01 12 1 0 0 0 5.8 0.1 94 8 9951 3 36
01 12 2 0 0 0 5.8 0.1 95 8 9949 4 36
01 12 3 0 0 0 5.8 0 95 8 9947 4 36
01 12 4 0 0 0 5.6 -0.1 96 8 9943 4 35
01 12 5 0 0 0 5.5 -0.2 97 8 9940 4 35
01 12 6 0 0 0 5.4 -0.5 97 8 9938 4 34
01 12 7 0 0 0 5.4 -0.9 96 8 9939 3 23
01 12 8 6 3 3 5.7 -1 94 7 9939 3 13
01 12 9 11 3 8 6.2 -0.6 93 7 9938 2 2
01 12 10 28 3 25 6.7 0.4 93 7 9935 2 2
01 12 11 64 3 61 7.1 1.2 93 8 9931 2 2
01 12 12 58 3 56 7.1 1.4 93 8 9927 2 2
01 12 13 28 3 25 6.8 1.1 94 8 9924 3 13
01 12 14 11 3 8 6.4 0.7 95 8 9920 4 25
01 12 15 6 3 3 6.3 0.6 94 8 9918 5 36
01 12 16 3 3 0 6.7 1 91 8 9917 4 25
01 12 17 0 0 0 7.7 2 87 8 9916 3 15
01 12 18 0 0 0 8.9 3.2 85 8 9921 2 4
01 12 19 0 0 0 9.8 4.1 86 8 9935 2 5
01 12 20 0 0 0 10.1 4.5 86 8 9949 2 5
01 12 21 0 0 0 9.7 4.2 89 8 9962 2 6
01 12 22 0 0 0 9.1 3.6 92 8 9973 3 14
01 12 23 0 0 0 8.4 2.8 96 8 9984 3 22
01 13 0 0 0 0 7.8 2.3 98 8 9994 4 30
01 13 1 0 0 0 7.4 1.9 97 8 10002 5 31
01 13 2 0 0 0 7.1 1.4 97 8 10010 5 31
01 13 3 0 0 0 6.7 1 97 8 10019 5 32
01 13 4 0 0 0 6.3 0.7 97 8 10027 5 33
01 13 5 0 0 0 6.1 0.4 97 8 10036 5 35
01 13 6 0 0 0 5.9 0.2 98 8 10047 5 36
01 13 7 3 3 0 5.7 0 98 8 10061 4 36
01 13 8 3 3 0 5.5 -0.2 99 8 10075 4 36
01 13 9 6 3 3 5.2 -0.7 98 8 10087 5 36
